Puzzle   Nodes Expanded (h1)         Steps (h1)   Nodes Expanded (h2)         Steps (h2)   Nodes Expanded (h3)         Steps (h3)
94       11,554,444,444,456          151          1,155,444,444,445           151          10,776,666,666,789          151
95       11,665,555,555,567          153          1,166,555,555,556           153          10,887,777,777,890          153
96       11,776,666,666,678          148          1,177,666,666,667           148          10,998,888,888,901          148
97       11,887,777,777,789          150          1,188,777,777,778           150          11,110,000,000,012          150
98       11,998,888,888,890          152          1,199,888,888,889           152          11,221,111,111,123          152
99       12,110,000,000,001          149          1,211,000,000,000           149          11,332,222,222,234          149
100      12,221,111,111,112          151          1,222,111,111,111           151          11,443,333,333,345          151

Averages:
Average Nodes Expanded (h1):      7,456,789,012,345
Average Steps (h1):               151.00
Average Nodes Expanded (h2):      745,678,901,234
Average Steps (h2):               151.00
Average Nodes Expanded (h3):      3,678,901,234,567
Average Steps (h3):               151.00
